categories,subcateories,apps
Games,Educational,Typomagia
Games,Utilities,MrCrayfish's Gun Mod for Minecraft
Games,Puzzle,SUPERHOT
Security & Privacy,Encryption,Device Seizure
Multimedia,Audio,Creevity
Development & IT,Programming Languages,Aptana
Development & IT,Backup & Cloud Storage,Free Samsung Galaxy Data Recovery
Utilities & Tools,Clocks & Alarms,Analogue Vista Clock
Games,Arcade,Kobo Deluxe
Browsers,Web browsers,Findoo Browser 2019 varies-with-device
Browsers,Add-ons & Tools,Net Time Server & Client
Internet & Network,File Sharing & Peer to Peer,File Sender
Multimedia,Graphic & Design,FireAlpaca
Development & IT,Backup & Cloud Storage,SpiderOak
Personalization,Wallpaper,The Amazing Spider-Man Wallpaper
Games,Utilities,SA-MP: multiplayer mod for GTA San Andreas
Business & Productivity,Agenda & Calendars,ReminderCube
Multimedia,Graphic & Design,Pixia
Personalization,Screen Savers,Marine Life 3D Screensaver
Browsers,Add-ons & Tools,Stealther
Games,Role Playing,MythWar Online
Games,Action,Secret Neighbor varies-with-device
Games,Adventure,Street Fighter X Mega Man 2
Games,Utilities,Epic Games Store
Utilities & Tools,Data Recovery,TogetherShare Data Recovery Free
Business & Productivity,Office Suites,TextFlow
Personalization,Themes,Universal Vista Inspirat
Browsers,Add-ons & Tools,Chromifox 
Games,Utilities,GoldenEye 007 XBLA
Games,Puzzle,The Talos Principle
Games,Utilities,Blizzard Battle.net
Games,Simulation,Hand Simulator: Survival Varies with device
Games,Family,Ri-li
Multimedia,Streaming videos,wTicker
Games,Simulation,American Truck Simulator - Oregon varies-with-device
Development & IT,Web development,Webocton Scriptly
Multimedia,Graphic & Design,Interior Design 3D
Utilities & Tools,Clocks & Alarms,Digit Skinnable Clock
Multimedia,Audio,Music Tag
Games,Simulation,Nuclear War Simulator 1-build-214
Games,Adventure,Turtle Odyssey Demo
Games,Educational,Memory Games
Games,Simulation,Jurassic World Evolution - Deluxe Dinosaur Pack Varies with device
Development & IT,Development kits,WebSite X5 Evolution Evolution 12
Multimedia,Photography,PhotoMix
Multimedia,Graphic & Design,Rhino
Multimedia,Photography,Phototastic Collage
Games,Board,K-Chess Elite
Social & Communication,Chat & Instant Messaging,GroupMe
Business & Productivity,Agenda & Calendars,Holiline Reminder
Multimedia,Photography,Photo Slideshow Creator
Security & Privacy,Encryption,FreeOTFE Explorer
Games,Utilities,Screencastify - Screen Video Recorder
Games,Racing,Ride 2 2016
Multimedia,Audio,MP4 to MP3 Converter
Business & Productivity,Calculators & Converters,Unir PDF
Games,Sports,The Hunter
Games,Simulation,Poly Bridge
Games,Strategy,Magic Duels
Security & Privacy,Antivirus,BitDefender USB Immunizer Bitdefender USB Immunizer
Security & Privacy,VPN,ZenMate VPN for Chrome
Games,Utilities,Call of Duty 4 Modern Warfare - Patch
Multimedia,Video,Vimeo for Windows 10
Games,Strategy,Heroes of Might and Magic 3 HD Edition
Internet & Network,Download Managers,Extreme Picture Finder
Games,Racing,Forza Motorsport 4
Multimedia,Video,Free AVI Video Converter
Development & IT,Backup & Cloud Storage,FarStone RestoreIT 2014b
Games,Racing,Trackmania Turbo 2016
Games,Strategy,Total War: ARENA
Games,Puzzle,Sudokumat
Security & Privacy,Password management,Sunbelt Kerio Personal Firewall
Games,Sports,Football Manager 2017
Security & Privacy,Password management,Password Dragon
Browsers,Add-ons & Tools,Site Publisher
Development & IT,Networking,WiFi Hotspot Creator Helper for Windows 10
Games,Simulation,Tiny Rails
Multimedia,Photography,Free Photo Noise Reduction
Development & IT,Networking,Advanced IP Address Calculator
Games,Educational,Grey Olltwit's Times Tables
Multimedia,Graphic & Design,GstarCAD (64-Bit) 2021
Multimedia,Graphic & Design,Mockplus
Multimedia,Photography,DICOM Converter
Personalization,Wallpaper,GTA V Cover Wallpaper
Multimedia,Photography,Photo Viewer
Browsers,Web browsers,Clean Google Calendar
Games,Action,Call of Duty: Warzone
Development & IT,Networking,Blu
Games,Simulation,American Truck Simulator - Special Transport varies-with-device
Games,Sports,FIFA 18 World Cup Russia Update
Games,Strategy,Anno 1404
Multimedia,Graphic & Design,Blenderb
Personalization,Wallpaper,Bee Wallpapers
Games,Arcade,Penguin Command
Games,Strategy,Rogue Company
Security & Privacy,Access Control,Access Lock
Personalization,Screen Savers,Peugeot 907 Screensaver
Games,Racing,SuperTuxKart
Games,Utilities,FIFA 14 Manual - PC
Development & IT,Networking,Super Internet TV
Browsers,Add-ons & Tools,HTML Link Validator
Games,Adventure,Sonic Utopia demo
Games,Puzzle,Maleficent Free Fall for Windows 10
Security & Privacy,Antivirus,Multi Virus Cleaner 2011
Multimedia,Graphic & Design,pViewer
Games,Action,Chicken Invaders 5 5
Personalization,Themes,7 Wonders Of The World Theme
Browsers,Add-ons & Tools,ChromeHistoryView
Games,Sports,International Cricket Captain 2011
Games,Simulation,Dawn of Man varies-with-device
Games,Racing,F1 2010 2016
Games,Role Playing,MDK (Murder Death Kill) Abandonware
Games,Simulation,Mini Metro 2016
Games,Board,Open Yahtzee
Security & Privacy,Anti-Spam & Anti-Spy,Spy Emergency
Games,Role Playing,Eden Eternal
Multimedia,Graphic & Design,Freeship Plus
Games,Utilities,Pro Evolution Soccer 6 trailer
Social & Communication,Chat & Instant Messaging,Zoom for Chrome
Games,Sports,Universal Soccer Manager
Security & Privacy,VPN,Tunnello VPN varies-with-device
Multimedia,Photography,PicSizer
Business & Productivity,E-mail Clients,MailStore Home
Multimedia,Photography,JPEG Compressor
Business & Productivity,Office Suites,SoftMaker FreeOffice 2016
Utilities & Tools,Screen Capture,Ashampoo Snap 11
Security & Privacy,Antivirus,AnalogX Script Defender
Games,Puzzle,Super LianLianKan
Games,Puzzle,Baba Is You
Multimedia,Photography,Microsoft Powertoys Image Resizer
Multimedia,Audio,Mp3 Converter
Multimedia,Video,Filmora Video Editor.
Business & Productivity,Agenda & Calendars,Speed Agenda
Internet & Network,Download Managers,ReGet Deluxe
Games,Strategy,Magic Lines
Personalization,Screen Savers,Filigree
Games,Arcade,Space Ping Pong
Utilities & Tools,Keyboards,OdoPlus
Games,Action,Injustice: Gods Among Us ultimate-edition
Games,Sports,Pro Evolution Soccer 2008
Multimedia,Audio,Audio Record Wizard
Social & Communication,Chat & Instant Messaging,Signal
Multimedia,Photography,ImageResizer
Personalization,Themes,Android Skin Pack
Games,Action,WWE Raw
Games,Board,Net Blitz II
Multimedia,Audio,Free FLAC Player
Games,Puzzle,NightSky
Development & IT,Networking,syncDriver for SkyDrive
Games,Arcade,Hydorah
Security & Privacy,Antivirus,NANO Antivirus
Development & IT,Networking,NetworkView
Browsers,Web browsers,QupZilla
Personalization,Screen Savers,Windows XP Bliss Screen Saver
Utilities & Tools,Data Recovery,Data Recovery Wizard Free
Multimedia,Video,FFMpeg r18639
Security & Privacy,Antivirus,McAfee Stinger
Multimedia,Graphic & Design,Blender Portable
Games,Utilities,Euro Truck Simulator 2 mod: Romania Map Add-on
Social & Communication,Chat & Instant Messaging,BigAnt Messenger
Personalization,Screen Savers,FIFA 2010 World Cup Wallpaper
Security & Privacy,Anti-Spam & Anti-Spy,Trend Micro Anti-Spyware
Games,Utilities,The Sims 4: Package Editor free
Games,Sports,FIFA 13
Multimedia,Photography,PhotoStage
Multimedia,Graphic & Design,Synfig Studio
Games,Arcade,Airport City
Multimedia,Photography,BIC – Batch-Image-Cropper 1
